"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Mfr. No","Mouser Part Number"
"C1","1","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C104J4RACAUTO",""
"C2","1","10u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C106K4PACTU",""
"C3","1","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C104J4RACAUTO",""
"C4","1","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C104J4RACAUTO",""
"C5","1","100n","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","C0805C104J4RACAUTO",""
"D1","1","FM5817-W","","","","DIOM5025X231N","","FM5817-W",""
"D2","1","FM5817-W","","","","DIOM5025X231N","","FM5817-W",""
"J1","1","Conn_01x04","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal","~","1725672",""
"J2","1","Conn_01x04","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-4P_1x04_P2.54mm_Horizontal","~","1725672",""
"J3","1","Conn_01x02","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~","1725656",""
"J4","1","PCI_express_x1","","","","10061913110CLF","https://cdn.amphenol-cs.com/media/wysiwyg/files/documentation/datasheet/ssio/ssio_pcie_gen3.pdf","10061913-110CLF","649-10061913-110CLF"
"Q1","1","S8550","","","","Package_TO_SOT_SMD:SOT-23-3","http://www.unisonic.com.tw/datasheet/S8550.pdf","ASS8550-L-HF",""
"R1","1","10R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","SR0805FR-7W10RL ",""
"R2","1","20k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RT0805FRE1320KL",""
"R3","1","8.2k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RT0805DRD078K2L",""
"R4","1","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RP0805BRD07100RL",""
"R5","1","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RP0805BRD07100RL",""
"R6","1","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RP0805BRD07100RL",""
"R7","1","100R","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","RP0805BRD07100RL",""
"U1","1","~","","","","Converter_DCDC:Converter_DCDC_TRACO_TSR0.5-24xx_TSR0.5-24xxx_THT","https://www.tracopower.com/products/tsr0.5.pdf","TSR 0.5-2450",""
